Title,Test Interactions,Food Interactions
CycloSPORINE (Systemic) (Lexi-Drugs),"Specific whole blood assay for cyclosporine may be falsely elevated if sample is drawn from the same central venous line through which dose was administered (even if flush has been administered and/or dose was given hours before); cyclosporine metabolites cross-react with radioimmunoassay and fluorescence polarization immunoassay

","Grapefruit juice increases cyclosporine serum concentrations. Management: Avoid grapefruit juice with concomitant oral cyclosporine use.

"
Gemcitabine (Lexi-Drugs),,
Anthrax Immune Globulin (Human) (Lexi-Drugs),"Contains maltose; falsely elevated blood glucose levels may occur when glucose monitoring devices and test strips utilizing the glucose dehydrogenase pyrroloquinolinequinone (GDH-PQQ) or glucose-dye-oxidoreductase based methods are used. Glucose monitoring devices and test strips which utilize the glucose-specific method are recommended. Urinalysis after anthrax immune globulin administration may result in transiently elevated glucose; testing should be repeated to determine if action is warranted.



Passively transferred antibodies may yield false-positive serologic testing results; may yield false-positive direct and indirect Coombs’ test.

",
EriBULin (Lexi-Drugs),,
Fosphenytoin (Lexi-Drugs),"Falsely high plasma phenytoin concentrations (due to cross-reactivity with fosphenytoin) when measured by immunoanalytical techniques (eg, TDX, TDXFLX, Emit 2000) prior to complete conversion of fosphenytoin to phenytoin. Phenytoin may produce falsely low results for dexamethasone or metyrapone tests. Phenytoin has the potential to lower serum folate levels.

","Ethanol:



Acute use: Ethanol inhibits metabolism of phenytoin and may also increase CNS depression. Management: Monitor patients. Caution patients about effects.

Chronic use: Ethanol stimulates metabolism of phenytoin. Management: Monitor patients.

"
ALfentanil (Pediatric and Neonatal Lexi-Drugs),,
Clindamycin (Systemic) (Lexi-Drugs),,
Calcitriol (Systemic) (Lexi-Drugs),,
,,
Clindamycin (Systemic) (Pediatric and Neonatal Lexi-Drugs),,
Phenylephrine and Pyrilamine (Lexi-Drugs),,
Fosfomycin (Lexi-Drugs),,
DexmedeTOMIDine (Lexi-Drugs),,
Ergonovine (Lexi-Drugs),,
Terlipressin (Lexi-Drugs),,
Acyclovir (Systemic) (Lexi-Drugs),,
Insulin NPH and Insulin Regular (Pediatric and Neonatal Lexi-Drugs),,
Pseudoephedrine and Ibuprofen (Pediatric and Neonatal Lexi-Drugs),"See individual agents.

","See individual agents.

"
Scopolamine (Briggs Drugs in Pregnancy and Lactation),,
Fibrinogen Concentrate (Human) (Lexi-Drugs),,
Buprenorphine (Geriatric Lexi-Drugs),,
DilTIAZem (Lexi-Drugs),,"Grapefruit juice may increase the serum concentration of diltiazem. Management: Monitor response to diltiazem with concurrent use.

"
Ibuprofen (Lexi-Drugs),"May interfere with urine detection of phencyclidine (false-positives) (Marchei 2007). May lead to false-positive aldosterone/renin ratio (ARR) (Funder 2016).

",
Betamethasone and Salicylic Acid (Lexi-Drugs),,
Diclofenac (Ophthalmic) (Lexi-Drugs),,
Aztreonam (Oral Inhalation) (Lexi-Drugs),,
Bupivacaine and Meloxicam (Lexi-Drugs),,
Acyclovir (Ophthalmic) (Lexi-Drugs),,
Asparaginase (Briggs Drugs in Pregnancy and Lactation),,
Golodirsen (Lexi-Drugs),,
Clindamycin (Topical) (Lexi-Drugs),,
